index_rc,col,row,col_row,x_cent_geo,y_cent_geo,x1_nw_geo,y1_nw_geo,x2_sw_geo,y2_sw_geo,x3_se_geo,y3_se_geo,x4_ne_geo,y4_ne_geo,sh,hh,ni,hb,nw,he,rp,bw,by,sl,be,bb,mv,sn,st,th
44,44,0,44 - 000,11.1894883715,55.2018058922,11.1244278360,55.2404173663,11.1224063143,55.1643750633,11.2544300824,55.1631593842,11.2566893001,55.2391996426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,0,45 - 000,11.3216269709,55.2005216147,11.2566893001,55.2391996426,11.2544300824,55.1631593842,11.3864458414,55.1618086679,11.3889427117,55.2378466547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,46,0,46 - 000,11.4537571175,55.1991021925,11.3889427117,55.2378466547,11.3864458414,55.1618086679,11.5184527494,55.1603229266,11.5211872245,55.2363584148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,47,0,47 - 000,11.5858779672,55.1975476383,11.5211872245,55.2363584148,11.5184527494,55.1603229266,11.6504499649,55.1587021734,11.6534219923,55.2347349361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,48,0,48 - 000,11.7179886764,55.1958579660,11.6534219923,55.2347349361,11.6504499649,55.1587021734,11.7824366466,55.1569464230,11.7856461693,55.2329762333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,0,49 - 000,11.8500884017,55.1940331908,11.7856461693,55.2329762333,11.7824366466,55.1569464230,11.9144119536,55.1550556910,11.9178589102,55.2310823222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,50,0,50 - 000,11.9821763004,55.1920733290,11.9178589102,55.2310823222,11.9144119536,55.1550556910,12.0463750457,55.1530299943,12.0500593700,55.2290532197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,0,51 - 000,12.1142515299,55.1899783982,12.0500593700,55.2290532197,12.0463750457,55.1530299943,12.1783250829,55.1508693511,12.1822467043,55.2268889440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,52,0,52 - 000,12.2463132484,55.1877484171,12.1822467043,55.2268889440,12.1783250829,55.1508693511,12.3102612257,55.1485737806,12.3144200691,55.2245895145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,0,53 - 000,12.3783606145,55.1853834058,12.3144200691,55.2245895145,12.3102612257,55.1485737806,12.4421826354,55.1461433034,12.4465786211,55.2221549518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,54,0,54 - 000,12.5103927872,55.1828833853,12.4465786211,55.2221549518,12.4421826354,55.1461433034,12.5740884735,55.1435779413,12.5787215174,55.2195852778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,55,0,55 - 000,12.6424089263,55.1802483780,12.5787215174,55.2195852778,12.5740884735,55.1435779413,12.7059779025,55.1408777170,12.7108479158,55.2168805155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,0,56 - 000,12.7744081922,55.1774784075,12.7108479158,55.2168805155,12.7059779025,55.1408777170,12.8378500850,55.1380426549,12.8429569746,55.2140406890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,57,0,57 - 000,12.9063897458,55.1745734987,12.8429569746,55.2140406890,12.8378500850,55.1380426549,12.9697041848,55.1350727801,12.9750478530,55.2110658239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,0,58 - 000,13.0383527488,55.1715336774,12.9750478530,55.2110658239,12.9697041848,55.1350727801,13.1015393661,55.1319681193,13.1071197106,55.2079559468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,0,59 - 000,13.1702963635,55.1683589709,13.1071197106,55.2079559468,13.1015393661,55.1319681193,13.2333547938,55.1287287001,13.2391717080,55.2047110855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,0,60 - 000,13.3022197531,55.1650494075,13.2391717080,55.2047110855,13.2333547938,55.1287287001,13.3651496337,55.1253545515,13.3712030064,55.2013312691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,0,61 - 000,13.4341220814,55.1616050168,13.3712030064,55.2013312691,13.3651496337,55.1253545515,13.4969230523,55.1218457036,13.5032127678,55.1978165278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62,0,62 - 000,13.5660025131,55.1580258297,13.5032127678,55.1978165278,13.4969230523,55.1218457036,13.6286742168,55.1182021877,13.6352001551,55.1941668930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,63 - 000,13.6978602137,55.1543118781,13.6352001551,55.1941668930,13.6286742168,55.1182021877,13.7604022956,55.1144240363,13.7671643320,55.1903823975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,64,0,64 - 000,13.8296943496,55.1504631951,13.7671643320,55.1903823975,13.7604022956,55.1144240363,13.8921064576,55.1105112831,13.8991044632,55.1864630750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,65,0,65 - 000,13.9615040881,55.1464798151,13.8991044632,55.1864630750,13.8921064576,55.1105112831,14.0237858727,55.1064639631,14.0310197140,55.1824089605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
